year;month;state;latitude;longitude;firespots
2000;10;RORAIMA;32.483.464.000.000.000;-606.930.200.000.000.000;25
2000;10;TOCANTINS;-64.780.723.376.623.300;-485.380.740.259.740.000;77
2000;11;AMAPA;12.218.631.210.191.000;-512.511.694.267.515.000;157
2000;11;AMAZONAS;-44.529.651.851.851.800;-598.980.703.703.703.000;27
2000;11;MARANHAO;-35.006.475.075.437.500;-459.820.293.904.646.000;1657
2000;11;MATO GROSSO;-134.821.882.832.618.000;-570.028.587.982.832.000;233
2000;11;PARA;-32.506.526.292.335.100;-499.765.997.326.203.000;3366
2000;11;RONDONIA;-120.672.615.384.615.000;-630.048.153.846.153.000;13
2000;11;RORAIMA;19.130.406.250.000.000;-600.163.906.250.000.000;32
2000;11;TOCANTINS;-62.319.933.333.333.300;-485.911.583.333.333.000;12
2000;12;AMAPA;0.38952833333333333333;-510.966.000.000.000.000;30
2000;12;AMAZONAS;-25.820.348.333.333.300;-582.678.033.333.333.000;60
2000;12;MARANHAO;-28.125.110.823.529.400;-457.920.530.196.078.000;1275
2000;12;MATO GROSSO;-144.319.080.000.000.000;-574.628.280.000.000.000;25
2000;12;PARA;-25.805.704.596.346.400;-497.053.467.295.226.000;1697
2000;12;RONDONIA;-110.535.142.857.142.000;-626.202.285.714.285.000;7
2000;12;RORAIMA;14.075.224.675.324.600;-600.740.363.636.363.000;77
2000;12;TOCANTINS;-65.258.350.000.000.000;-483.315.500.000.000.000;4
2001;1;AMAZONAS;-28.072.233.333.333.300;-597.366.666.666.666.000;3
2001;1;MARANHAO;-36.616.660.000.000.000;-457.024.900.000.000.000;10
2001;1;MATO GROSSO;-138.830.411.764.705.000;-567.469.529.411.764.000;17
2001;1;PARA;-35.742.647.058.823.500;-496.009.294.117.647.000;34
2001;1;RORAIMA;29.651.319.801.980.100;-607.747.376.237.623.000;101
2001;2;AMAZONAS;-29.931.250.000.000.000;-631.349.875.000.000.000;8
2001;2;MATO GROSSO;-124.382.740.740.740.000;-557.092.555.555.555.000;27
2001;2;PARA;-56.036.468.750.000.000;-499.828.062.500.000.000;16
2001;2;RONDONIA;-108.675.150.000.000.000;-647.566.500.000.000.000;2
2001;2;RORAIMA;21.073.272.600.619.100;-607.843.442.724.458.000;646
2001;3;AMAZONAS;-33.358.316.666.666.600;-623.875.000.000.000.000;6
2001;3;MATO GROSSO;-139.615.904.761.904.000;-571.846.809.523.809.000;21
2001;3;RORAIMA;26.032.398.735.320.600;-610.124.852.755.194.000;1107
